@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,8.0,1984,1955,23,True,,"{'@type': 'Point', 'coordinates': [8.063, 63.4197], 'nearest': False}",,SN65370,30.0,SMØLA,1573,SMØLA - MOLDSTAD,,Smøla,['MET.NO'],1963-10-01T00:00:00.000Z,0-578-0-65370,
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2019,2004,16,True,"['01217', '10.249.0.60', 'ENML']","{'@type': 'Point', 'coordinates': [7.2617, 62.7443], 'nearest': False}",['ENML'],SN62270,3.0,MOLDE,1506,MOLDE LUFTHAVN,,Molde LH,['AVINOR'],1972-03-01T00:00:00.000Z,0-20000-0-01217,1217.0
SensorSystem,Norge,NO,INNLANDET,34.0,1.0,2012,2011,2,True,"['01230', '10.249.0.95']","{'@type': 'Point', 'coordinates': [8.2, 62.2583], 'nearest': False}",,SN61630,579.0,LESJA,3432,BJORLI,,Bjorli,['BANE NOR'],2010-02-22T00:00:00.000Z,0-20000-0-01230,1230.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,2.0,2012,2010,2,True,['10.249.0.120'],"{'@type': 'Point', 'coordinates': [20.11451, 70.10426], 'nearest': False}",,SN90760,57.0,KARLSØY,5423,FAKKEN,,Fakken,['MET.NO'],2003-01-21T00:00:00.000Z,0-578-0-90760,
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,2012,2009,4,True,"['01326', '10.249.0.94']","{'@type': 'Point', 'coordinates': [5.9733, 60.8562], 'nearest': False}",,SN52310,125.0,MODALEN,4629,MODALEN III,,Modalen,['MET.NO'],2008-10-02T00:00:00.000Z,0-20000-0-01326,1326.0
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,2019,2004,16,True,"['01323', '10.249.0.21', 'ENBL']","{'@type': 'Point', 'coordinates': [5.76, 61.391], 'nearest': False}",['ENBL'],SN57000,321.0,SUNNFJORD,4647,FØRDE LH - BRINGELAND,,Førde LH,['AVINOR'],1987-01-01T00:00:00.000Z,0-20000-0-01323,1323.0
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2019,2013,7,True,['34'],"{'@type': 'Point', 'coordinates': [8.6895, 62.9853], 'nearest': False}",,SN64760,5.0,SURNADAL,1566,SURNADAL - SYLTE,,Sylte,['NIBIO'],2005-01-01T00:00:00.000Z,0-578-0-64760,
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2019,2004,16,True,"['01223', '10.249.0.12', 'ENKB']","{'@type': 'Point', 'coordinates': [7.8158, 63.1093], 'nearest': False}",['ENKB'],SN64330,62.0,KRISTIANSUND,1505,KRISTIANSUND LUFTHAVN,,Kristiansund LH,['AVINOR'],1970-06-01T00:00:00.000Z,0-20000-0-01223,1223.0
SensorSystem,Svalbard og Jan Mayen,SJ,SVALBARD,21.0,,2012,2012,1,True,"['01016', '300134010234480', '300134010806050']","{'@type': 'Point', 'coordinates': [28.892, 78.9108], 'nearest': False}",,SN99740,20.0,SVALBARD,2100,KONGSØYA,,Kongsøya,"['MET.NO', 'UNIVERSITETET I OSLO']",2010-09-28T00:00:00.000Z,0-20000-0-01016,1016.0
SensorSystem,Norge,NO,NORDSJØEN,26.0,4.0,2011,2006,3,True,"['ENQA', 'LF4B']","{'@type': 'Point', 'coordinates': [3.7193, 60.6435], 'nearest': False}",['ENQA'],SN76931,128.0,NORDSJØEN,2600,TROLL A,['LF4B'],Troll A,['STATOIL ASA'],1998-01-04T00:00:00.000Z,0-20000-0-01309,1309.0
