@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId,latitude,longitude
SensorSystem,Norge,NO,TRØNDELAG,50,1,2019,1946,74,True,"['01271', '10.249.0.13', '10.249.1.47', 'ENVA']","{'@type': 'Point', 'coordinates': [10.9305, 63.4597], 'nearest': False}",['ENVA'],SN69100,12,STJØRDAL,5035,VÆRNES,,Værnes,"['MET.NO', 'AVINOR']",1940-04-17T00:00:00.000Z,0-20000-0-01271,1271.0,10.9305,63.4597
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15,1,2019,1931,89,True,"['01218', '10.249.0.141']","{'@type': 'Point', 'coordinates': [7.4218, 62.2305], 'nearest': False}",,SN60500,11,NORDDAL,1524,TAFJORD,,Tafjord,['MET.NO'],1925-01-01T00:00:00.000Z,0-20000-0-01218,1218.0,7.4218,62.2305
SensorSystem,Norge,NO,INNLANDET,34,2,2019,1983,34,True,"['01367', '10.249.1.115']","{'@type': 'Point', 'coordinates': [9.224, 60.9785], 'nearest': False}",,SN23420,358,NORD-AURDAL,3451,FAGERNES,,Fagernes,['MET.NO'],1892-10-01T00:00:00.000Z,0-20000-0-01367,1367.0,9.224,60.9785
SensorSystem,Norge,NO,VIKEN,30,2,2019,1996,23,True,"['01495', '10.249.0.110']","{'@type': 'Point', 'coordinates': [10.8288, 59.1513], 'nearest': False}",,SN17000,10,FREDRIKSTAD,3004,STRØMTANGEN FYR,,Strømtangen,['MET.NO'],1994-05-09T00:00:00.000Z,0-20000-0-01495,1495.0,10.8288,59.1513
SensorSystem,Norge,NO,AGDER,42,2,2019,1941,78,True,"['01452', '10.249.0.47', 'ENCN']","{'@type': 'Point', 'coordinates': [8.0767, 58.2], 'nearest': False}",['ENCN'],SN39040,12,KRISTIANSAND,4204,KJEVIK,,Kjevik,"['MET.NO', 'AVINOR']",1939-06-01T00:00:00.000Z,0-20000-0-01452,1452.0,8.0767,58.2
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,3,2019,1955,61,True,"['01055', '10.249.0.171']","{'@type': 'Point', 'coordinates': [23.9817, 71.0937], 'nearest': False}",,SN94500,13,MÅSØY,5434,FRUHOLMEN FYR,,Fruholmen fyr,['MET.NO'],1867-09-01T00:00:00.000Z,0-20000-0-01055,1055.0,23.9817,71.0937
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,2,2019,1921,97,True,"['01026', '1']","{'@type': 'Point', 'coordinates': [18.9368, 69.6536], 'nearest': False}",,SN90450,100,TROMSØ,5401,TROMSØ,,Tromsø,['MET.NO'],1895-08-01T00:00:00.000Z,0-20000-0-01026,1026.0,18.9368,69.6536
SensorSystem,Norge,NO,INNLANDET,34,1,2019,1969,51,True,"['01238', '10.249.0.158']","{'@type': 'Point', 'coordinates': [9.2862, 62.1133], 'nearest': False}",,SN16610,973,DOVRE,3431,FOKSTUGU,,Fokstugu,['MET.NO'],1968-06-01T00:00:00.000Z,0-20000-0-01238,1238.0,9.2862,62.1133
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15,2,2019,1956,62,True,"['01205', '10.249.1.56']","{'@type': 'Point', 'coordinates': [5.268, 62.3293], 'nearest': False}",,SN59800,38,HERØY,1515,SVINØY FYR,,Svinøy fyr,['MET.NO'],1955-06-01T00:00:00.000Z,0-20000-0-01205,1205.0,5.268,62.3293
SensorSystem,Norge,NO,NORDLAND,18,2,2019,1993,26,True,"['01115', '10.249.0.230']","{'@type': 'Point', 'coordinates': [12.486, 66.7628], 'nearest': False}",,SN80610,17,RØDØY,1836,MYKEN,,Myken,['MET.NO'],1992-10-15T00:00:00.000Z,0-20000-0-01115,1115.0,12.486,66.7628
